image_id,timestamp,sonar_ping_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,class,confidence,heading_deg,speed_m_s,latitude,longitude,depth_m
IMG-000000,2025-09-06T00:08:22.685435Z,PING-000460,0.2364,0.4586,0.3143,0.6233,fish,0.77,354.04,0.58,24.28544,67.512505,403.82
IMG-000001,2025-09-23T06:59:06.179598Z,PING-005425,0.2607,0.2392,0.3763,0.391,rock,0.61,241.62,1.77,23.744826,66.922449,21.78
IMG-000002,2025-09-16T17:30:22.994558Z,PING-017355,0.3288,0.2996,0.3873,0.4545,rock,0.5,293.91,0.69,25.198626,66.636025,54.68
IMG-000003,2025-09-12T17:30:17.488422Z,PING-007044,0.2978,0.2164,0.3217,0.2898,rock,0.79,130.08,1.62,24.129927,67.354983,353.3
IMG-000004,2025-08-30T10:48:15.013410Z,PING-009934,0.6711,0.2629,0.7006,0.4019,fish,0.87,205.36,1.48,24.691969,66.542896,34.89
IMG-000005,2025-08-30T10:47:12.494094Z,PING-003587,0.2383,0.4128,0.3644,0.5357,wreck,0.99,292.9,0.06,24.674057,66.762875,400.79
IMG-000006,2025-08-27T12:17:27.420123Z,PING-019252,0.3704,0.2427,0.5347,0.3376,buoy,0.56,115.94,1.29,25.307665,66.353315,224.78
IMG-000007,2025-09-20T18:07:03.267232Z,PING-018516,0.4905,0.7075,0.6047,0.7977,rock,0.99,274.7,1.71,24.233087,66.514995,102.16
IMG-000008,2025-09-12T19:16:24.807821Z,PING-017895,0.6062,0.5061,0.6529,0.531,fish,0.68,254.04,1.77,24.430061,66.899182,165.25
IMG-000009,2025-09-16T00:16:58.819030Z,PING-016415,0.3447,0.2574,0.5261,0.3156,buoy,0.7,128.41,0.82,24.999438,67.248018,109.38
IMG-000010,2025-08-26T09:17:29.706598Z,PING-019888,0.601,0.2416,0.6443,0.2658,fish,0.74,302.63,2.35,24.421044,67.243993,173.14
IMG-000011,2025-09-23T20:48:21.034187Z,PING-004370,0.315,0.2543,0.3462,0.4353,rock,0.51,133.73,1.32,24.822122,66.876446,115.55
IMG-000012,2025-09-19T17:49:46.022338Z,PING-009614,0.3372,0.6376,0.3703,0.7159,fish,0.7,284.75,1.46,25.500121,67.215751,268.16
