timestamp,sensor_id,frequency_hz,amplitude_db,snr_db,bearing_deg,range_m,depth_m,temperature_c,salinity_psu,label
2025-09-06T00:08:22.685435Z,SEN-032,27703.52,-56.1,2.82,79.41,418.03,53.79,16.86,30.31,ambient_noise
2025-09-23T06:59:06.179598Z,SEN-036,47085.89,-41.95,1.75,28.15,755.99,498.59,16.56,36.3,ambient_noise
2025-09-16T17:30:22.994558Z,SEN-037,46065.24,-64.15,5.9,301.3,425.08,127.95,6.77,31.23,seafloor_reflection
2025-09-12T17:30:17.488422Z,SEN-048,44217.19,-51.08,11.89,313.44,1564.4,408.02,27.52,32.26,ambient_noise
2025-08-30T10:48:15.013410Z,SEN-014,4989.94,-59.98,2.66,162.17,1409.63,154.56,10.33,36.13,ambient_noise
2025-08-30T10:47:12.494094Z,SEN-027,31751.44,-53.63,18.17,195.27,2010.32,22.6,28.84,33.88,seafloor_reflection
2025-08-27T12:17:27.420123Z,SEN-019,40424.14,-51.85,3.23,266.34,1778.0,172.42,10.25,35.54,ambient_noise
2025-09-20T18:07:03.267232Z,SEN-031,41795.18,-59.95,6.67,135.31,686.3,298.26,27.01,30.23,fish_school
2025-09-12T19:16:24.807821Z,SEN-046,28937.57,-69.83,19.26,72.54,1355.18,15.14,16.76,32.69,whale
2025-09-16T00:16:58.819030Z,SEN-009,973.03,-72.3,14.6,41.29,2505.26,192.92,1.92,32.84,fish_school
2025-08-26T09:17:29.706598Z,SEN-038,48688.27,-48.5,8.89,84.69,904.38,188.31,28.63,31.96,whale
2025-09-23T20:48:21.034187Z,SEN-017,23662.62,-53.69,12.97,232.32,1089.07,314.89,9.98,33.0,fish_school
2025-09-19T17:49:46.022338Z,SEN-019,19740.44,-50.2,-0.14,125.17,804.93,179.23,24.42,32.92,ambient_noise
2025-09-01T03:21:17.672261Z,SEN-044,19807.94,-53.24,24.45,312.37,1157.28,38.33,16.97,37.55,submarine
2025-08-31T05:23:05.012384Z,SEN-004,21265.13,-49.28,0.28,31.52,1225.57,200.6,7.33,36.79,ambient_noise
2025-08-31T06:31:19.186923Z,SEN-048,12184.82,-57.78,11.67,149.89,1787.14,419.5,4.21,36.57,ambient_noise
2025-09-03T21:31:30.591134Z,SEN-011,16433.95,-75.19,18.98,92.51,563.88,73.2,7.03,30.03,fish_school
2025-09-10T12:17:43.368174Z,SEN-022,49269.34,-57.19,12.1,319.57,1211.61,191.87,16.35,32.92,sonar_ping
2025-09-07T17:28:16.185703Z,SEN-004,18471.58,-42.07,9.59,290.24,15.05,56.37,15.24,31.25,ambient_noise
2025-09-03T12:09:20.628776Z,SEN-017,26383.58,-56.49,19.0,354.35,70.23,404.47,8.1,32.45,seafloor_reflection
2025-09-13T03:00:17.400503Z,SEN-008,42429.88,-72.3,14.96,42.94,1793.06,97.9,4.71,31.35,fish_school
2025-08-29T22:54:22.784193Z,SEN-046,26418.65,-52.65,6.1,281.61,146.73,352.63,10.52,30.59,ship
2025-09-03T12:48:53.626386Z,SEN-034,16290.23,-38.32,22.34,45.31,1423.35,274.6,4.77,34.43,fish_school
2025-09-05T18:15:04.595200Z,SEN-011,26235.17,-65.58,4.04,55.81,311.43,98.55,15.19,36.08,ambient_noise
2025-09-08T10:50:28.096474Z,SEN-031,5792.91,-56.74,23.0,14.11,21.0,287.93,13.01,33.94,ambient_noise
2025-09-18T07:47:50.789314Z,SEN-011,6587.35,-55.25,14.75,167.29,1355.61,100.63,13.47,32.3,sonar_ping
2025-08-31T18:14:09.140737Z,SEN-038,34735.97,-57.96,6.85,45.32,2867.55,189.46,7.84,30.81,ambient_noise
2025-09-10T04:43:10.361751Z,SEN-021,45881.29,-52.02,1.83,125.41,1366.15,50.14,2.8,36.89,ambient_noise
2025-09-12T13:00:33.259873Z,SEN-046,36311.34,-64.05,11.28,99.43,669.95,625.92,17.59,35.11,ship
2025-08-27T03:54:54.167153Z,SEN-030,3823.2,-53.73,5.06,351.49,476.9,256.6,29.22,31.21,sonar_ping
